Time,SSI,symbol
11/8/2016,43.56,6E
11/7/2016,42.68,6E
11/4/2016,36.55,6E
11/3/2016,38.4,6E
11/2/2016,38.98,6E
11/1/2016,41.78,6E
10/31/2016,52.28,6E
10/28/2016,49.73,6E
10/27/2016,58.71,6E
10/26/2016,58.05,6E
10/25/2016,61.51,6E
10/24/2016,63.23,6E
10/21/2016,64.66,6E
10/20/2016,64.4,6E
10/19/2016,62.84,6E
10/18/2016,59.96,6E
10/17/2016,57.81,6E
10/14/2016,62.43,6E
10/13/2016,55.08,6E
10/12/2016,59.96,6E
10/11/2016,56.37,6E
10/10/2016,48.62,6E
10/7/2016,40.96,6E
10/6/2016,49.68,6E
10/5/2016,39.49,6E
10/4/2016,42.39,6E
10/3/2016,40.79,6E
9/30/2016,36.07,6E
9/29/2016,39.67,6E
9/28/2016,41.37,6E
9/27/2016,40.68,6E
9/26/2016,35.39,6E
9/23/2016,39.52,6E
9/22/2016,43,6E
9/21/2016,46.66,6E
9/20/2016,48.52,6E
9/19/2016,47.28,6E
9/16/2016,50.51,6E
9/15/2016,39.27,6E
9/14/2016,37.46,6E
9/13/2016,40.61,6E
9/12/2016,40.22,6E
9/9/2016,39.68,6E
9/8/2016,37.73,6E
9/7/2016,38.98,6E
9/6/2016,35.78,6E
9/5/2016,46.55,6E
9/2/2016,45.62,6E
9/1/2016,39.79,6E
8/31/2016,43.93,6E
8/30/2016,45.05,6E
8/29/2016,42.06,6E
8/26/2016,39.96,6E
8/25/2016,34.13,6E
8/24/2016,35.66,6E
8/23/2016,31.03,6E
8/22/2016,29.2,6E
8/19/2016,28.06,6E
8/18/2016,27.3,6E
8/17/2016,31.33,6E
8/16/2016,31.09,6E
8/15/2016,37.64,6E
8/12/2016,39.73,6E
8/11/2016,41.9,6E
8/10/2016,38.27,6E
8/9/2016,43.68,6E
8/8/2016,45.44,6E
8/5/2016,44.72,6E
8/4/2016,41.4,6E
8/3/2016,38.5,6E
8/2/2016,32.78,6E
8/1/2016,36.43,6E
7/29/2016,33.11,6E
7/28/2016,41.42,6E
7/27/2016,42.99,6E
7/26/2016,48.69,6E
7/25/2016,47.05,6E
7/22/2016,53.47,6E
7/21/2016,47.88,6E
7/20/2016,49.5,6E
7/19/2016,50.44,6E
7/18/2016,41.33,6E
7/15/2016,46.41,6E
7/14/2016,38.12,6E
7/13/2016,37.92,6E
7/12/2016,43.71,6E
7/11/2016,41.57,6E
7/8/2016,43.98,6E
7/7/2016,43.87,6E
7/6/2016,39.06,6E
7/5/2016,44.8,6E
7/4/2016,36.18,6E
7/1/2016,38,6E
6/30/2016,40.74,6E
6/29/2016,39,6E
6/28/2016,42.53,6E
6/27/2016,46.17,6E
6/24/2016,44.62,6E
6/23/2016,40.7,6E
6/22/2016,41.85,6E
6/21/2016,44.21,6E
6/20/2016,40.87,6E
6/17/2016,41,6E
6/16/2016,44.31,6E
6/15/2016,42.65,6E
6/14/2016,46.19,6E
6/13/2016,41.88,6E
6/10/2016,43.96,6E
6/9/2016,40.9,6E
6/8/2016,36.51,6E
6/7/2016,38.87,6E
6/6/2016,38.86,6E
6/3/2016,38.48,6E
6/2/2016,50.26,6E
6/1/2016,45.3,6E
5/31/2016,50.19,6E
5/30/2016,48.33,6E
5/27/2016,52.53,6E
5/26/2016,48.12,6E
5/25/2016,50.6,6E
5/24/2016,51.03,6E
5/23/2016,46.48,6E
5/20/2016,47.04,6E
5/19/2016,46.85,6E
5/18/2016,46.24,6E
5/17/2016,41.74,6E
5/16/2016,40.56,6E
5/13/2016,42.64,6E
5/12/2016,40.8,6E
5/11/2016,36.8,6E
5/10/2016,38.54,6E
5/9/2016,37.09,6E
5/6/2016,36.36,6E
5/5/2016,36.31,6E
5/4/2016,29.73,6E
5/3/2016,29.55,6E
5/2/2016,27.25,6E
4/29/2016,27.04,6E
4/28/2016,33.09,6E
4/27/2016,34.29,6E
4/26/2016,36.83,6E
4/25/2016,38.04,6E
4/22/2016,41.21,6E
4/21/2016,36.88,6E
4/20/2016,36.82,6E
4/19/2016,33.04,6E
4/18/2016,36.28,6E
4/15/2016,37.9,6E
4/14/2016,39.21,6E
4/13/2016,39,6E
4/12/2016,32.52,6E
4/11/2016,30.92,6E
4/8/2016,30.39,6E
4/7/2016,32.05,6E
4/6/2016,30.11,6E
4/5/2016,28.88,6E
4/4/2016,28.85,6E
4/1/2016,28.99,6E
3/31/2016,29.43,6E
3/30/2016,32.27,6E
3/29/2016,35.29,6E
3/28/2016,41.23,6E
3/25/2016,42.53,6E
3/24/2016,41.41,6E
3/23/2016,40.87,6E
3/22/2016,38.51,6E
3/21/2016,38.05,6E
3/18/2016,35.18,6E
3/17/2016,31.81,6E
3/16/2016,36.27,6E
3/15/2016,41.77,6E
3/14/2016,43.97,6E
3/11/2016,37.85,6E
3/10/2016,32.86,6E
3/9/2016,43.45,6E
3/8/2016,44.71,6E
3/7/2016,44.52,6E
